Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,23,23000000000,9998.91,456.87,0.04,38525446.9,100%
list,list,40,0,12.18,12.18,0.07,0,100%
delete,delete,40,0,53.95,53.95,0.07,0,100%
read,read,77,4928000,20.68,17.82,0.13,8254.5,100%
read,read,99,6336000000,537.6,64.82,0.17,10612923.11,100%
read,read,50,50000000000,5780.66,56.38,0.08,83750971.51,100%
write,write,32,2048000,56.44,56.41,0.05,3446.05,100%
write,write,33,2112000000,729.06,385.7,0.06,3553736.81,100%
write,write,18,18000000000,10190.89,876.17,0.03,30287529.61,100%
list,list,41,0,18.98,18.98,0.07,0,100%
delete,delete,61,0,54.69,54.69,0.1,0,100%
read,read,114,7296000,16.61,16.29,0.19,12276.55,100%
read,read,99,6336000000,494.44,51.6,0.17,10661210.42,100%
read,read,57,57000000000,5789.72,101.04,0.1,95910510.45,100%
write,write,25,1600000,315.04,315,0.04,2697.95,100%
write,write,36,2304000000,1090.56,493.22,0.06,3885053.67,100%
write,write,16,16000000000,13782.5,333.5,0.03,26979539.39,100%
list,list,35,0,30.29,30.29,0.06,0,100%
delete,delete,41,0,65.63,65.63,0.07,0,100%
read,read,77,4928000,58.05,57.81,0.13,8309.7,100%
read,read,68,4352000000,644.24,61.5,0.11,7338434.71,100%
read,read,31,31000000000,8816.58,91.06,0.05,52272857.57,100%
write,write,18,1152000,197.89,197.83,0.03,1934.91,100%
write,write,35,2240000000,1349.77,680.37,0.06,3762315.71,100%
write,write,11,11000000000,13429.55,303.45,0.02,18475657.48,100%
list,list,30,0,40,39.97,0.05,0,100%
delete,delete,41,0,68.1,68.1,0.07,0,100%
read,read,93,5952000,85.18,78.28,0.16,9997.01,100%
read,read,89,5696000000,678.97,62.66,0.15,9567031.36,100%
read,read,35,35000000000,9270.34,90.8,0.06,58786182.9,100%
write,write,23,1472000,199.48,199.43,0.04,2453.49,100%
write,write,16,1024000000,1029.69,281.94,0.03,1706777.61,100%
write,write,12,12000000000,14429,461.75,0.02,20001300.08,100%
list,list,25,0,27.2,27.2,0.04,0,100%
delete,delete,25,0,61.44,61.44,0.04,0,100%
read,read,61,3904000,56.25,55.92,0.1,6507.09,100%
read,read,60,3840000000,737,72.08,0.1,6400416.03,100%
read,read,38,38000000000,9364.32,90.76,0.06,63337450.27,100%
write,write,24,1536000,162.12,162.04,0.04,2577.2,100%
write,write,27,1728000000,1536.74,650.7,0.05,2899353.18,100%
write,write,9,9000000000,15679.33,408.89,0.02,15100797.83,100%
list,list,31,0,128.42,128.42,0.05,0,100%
delete,delete,31,0,65.48,65.48,0.05,0,100%
read,read,64,4096000,98.81,95.42,0.11,6872.54,100%
read,read,73,4672000000,792.85,95.05,0.12,7838991.94,100%
read,read,34,34000000000,9977.94,85.44,0.06,57047458.45,100%
write,write,20,1280000,402.15,401.9,0.03,2169.32,100%
write,write,19,1216000000,958.63,371.68,0.03,2060852.78,100%
write,write,8,8000000000,14739.62,588.12,0.01,13558241.97,100%
list,list,19,0,48.89,48.89,0.03,0,100%
delete,delete,20,0,78.8,78.8,0.03,0,100%
read,read,80,5120000,77.26,74.41,0.14,8677.27,100%
read,read,68,4352000000,714.19,62.1,0.12,7375683.63,100%
read,read,43,43000000000,9037.26,99.05,0.07,72875550.59,100%
write,write,19,1216000,151.32,151.21,0.03,2079.98,100%
write,write,27,1728000000,1102.81,401.48,0.05,2955756.03,100%
write,write,5,5000000000,12288.6,313,0.01,8552534.8,100%
list,list,18,0,32.72,32.72,0.03,0,100%
delete,delete,34,0,75.74,75.74,0.06,0,100%
read,read,92,5888000,37.99,37.75,0.16,10071.46,100%
read,read,76,4864000000,926.37,152.68,0.13,8319905.85,100%
read,read,46,46000000000,8987.76,106.2,0.08,78683320.16,100%
write,write,28,1792000,125.5,125.36,0.05,3012.81,100%
write,write,32,2048000000,1346.44,647.84,0.05,3443208.91,100%
write,write,8,8000000000,15495,1217.88,0.01,13450034.8,100%
list,list,44,0,39.48,39.45,0.07,0,100%
delete,delete,40,0,75.5,75.5,0.07,0,100%
read,read,94,6016000,43.88,39.27,0.16,10114.43,100%
read,read,98,6272000000,737.69,74.94,0.16,10544827.28,100%
read,read,37,37000000000,9270.73,78.81,0.06,62206410.96,100%
write,write,22,1408000,113.77,113.73,0.04,2385.35,100%
write,write,28,1792000000,1067.5,429.82,0.05,3035898.83,100%
write,write,15,15000000000,13886.6,474.13,0.03,25412099.55,100%
list,list,22,0,42.09,42.09,0.04,0,100%
delete,delete,20,0,70.95,70.95,0.03,0,100%
read,read,62,3968000,40.92,37.39,0.11,6722.35,100%
read,read,66,4224000000,678.83,60.39,0.11,7156047.23,100%
read,read,33,33000000000,9086.97,122.97,0.06,55906619,100%
write,write,32,2048000,115.25,115.16,0.05,3427.65,100%
write,write,31,1984000000,763.71,321.9,0.05,3320535.44,100%
write,write,17,17000000000,13031.76,1109,0.03,28452168.56,100%
list,list,40,0,16.02,15.97,0.07,0,100%
delete,delete,21,0,58.48,58.48,0.04,0,100%
read,read,75,4800000,26.51,26.2,0.13,8033.55,100%
read,read,78,4992000000,588.45,63.63,0.13,8354895.61,100%
